Game,PlayerID,Health,ActionType,ActionString,HeuristicValue
0,2,87,TOVPlayerMove,Moved from tile [0, 4] in direction [0, -1].,12.386000000000001
0,1,81,TOVPlayerMove,Moved from tile [5, 3] in direction [0, 1].,13.847999999999999
0,0,77,TOVPlayerMove,Moved from tile [2, 1] in direction [1, 0].,12.621
0,2,87,TOVPlayerMove,Moved from tile [0, 5] in direction [1, 0].,12.397
0,1,81,TOVPlayerMove,Moved from tile [6, 3] in direction [0, 1].,13.839
0,0,77,TOVPlayerMove,Moved from tile [3, 1] in direction [1, 0].,12.622
0,2,87,TOVPlayerMove,Moved from tile [0, 6] in direction [-1, 0].,12.388000000000002
0,1,81,TOVPlayerMove,Moved from tile [7, 3] in direction [0, 1].,13.84
0,0,77,TOVPlayerMove,Moved from tile [2, 1] in direction [1, 0].,12.621
0,2,87,TOVPlayerMove,Moved from tile [0, 7] in direction [0, -1].,12.379000000000001
0,1,81,TOVPlayerMove,Moved from tile [8, 3] in direction [0, -1].,13.850999999999999
0,0,77,TOVPlayerMove,Moved from tile [9, 3] in direction [1, 0].,12.665
0,1,78,TOVPlayerAttack,Default Attack against 93,13.875
0,0,77,TOVPlayerAttack,Default Attack against 93,13.654
0,2,87,TOVPlayerMove,Moved from tile [9, 3] in direction [0, -1].,13.389000000000001
0,1,78,TOVPlayerMove,Moved from tile [9, 3] in direction [0, -1].,14.939
0,0,77,TOVPlayerMove,Moved from tile [9, 2] in direction [-1, 0].,13.663
0,2,87,TOVPlayerMove,Moved from tile [9, 2] in direction [0, -1].,13.398000000000001
0,1,78,TOVPlayerMove,Moved from tile [8, 3] in direction [0, -1].,14.95
0,2,87,TOVPlayerMove,Moved from tile [8, 2] in direction [0, -1].,13.409
0,0,77,TOVPlayerAttack,Default Attack against 70,13.674
0,2,87,TOVPlayerAttack,Default Attack against 70,14.408
0,1,78,TOVPlayerMove,Moved from tile [8, 2] in direction [1, 0].,15.949
0,2,87,TOVPlayerMove,Moved from tile [8, 1] in direction [0, -1].,14.417
0,0,77,TOVPlayerAttack,Default Attack against 45,14.757
0,1,74,TOVPlayerAttack,Default Attack against 46,15.978
0,1,73,TOVPlayerAttack,Default Attack against 46,16.066999999999997
0,0,77,TOVPlayerAttack,Default Attack against 45,15.706
0,2,87,TOVPlayerMove,Moved from tile [8, 1] in direction [0, -1].,15.366
0,1,73,TOVPlayerMove,Moved from tile [8, 1] in direction [0, 1].,17.091
0,0,77,TOVPlayerMove,Moved from tile [8, 0] in direction [0, -1].,15.694999999999999
0,2,87,TOVPlayerMove,Moved from tile [8, 2] in direction [1, 0].,15.376999999999999
