Game,PlayerID,Health,ActionType,ActionString,HeuristicValue,RoundNum
7,1,86,TOVPlayerAttack,Default Attack against 26,69.5,132
7,2,47,TOVPlayerUseCard,Played the card: Life tap,67.838,132
7,0,5,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",69.875,133
7,1,83,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",69.875,133
7,2,36,TOVPlayerUseCard,Played the card: Life tap,69.875,133
7,0,2,TOVPlayerUseCard,Played the card: Empower,70.25,134
7,1,82,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",70.25,134
7,2,26,TOVPlayerUseCard,Played the card: Life tap,70.25,134
7,0,1,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",70.625,135
7,1,82,TOVPlayerUseCard,Played the card: Taunt,70.625,135
7,2,24,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",70.625,135
7,0,100,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",71.0,136
7,1,82,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",71.0,136
7,2,14,TOVPlayerUseCard,Played the card: Life tap,71.0,136
7,0,98,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",71.375,137
7,1,80,TOVPlayerUseCard,Played the card: Taunt,71.375,137
7,2,14,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",71.375,137
7,0,96,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",71.75,138
7,1,77,TOVPlayerUseCard,Played the card: Dazzle,71.75,138
7,2,14,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",71.75,138
7,0,93,TOVPlayerUseCard,Played the card: null,72.125,139
7,1,74,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",72.125,139
7,2,12,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",72.125,139
7,0,93,TOVPlayerUseCard,Played the card: Empower,72.5,140
7,1,71,TOVPlayerUseCard,Played the card: Taunt,72.5,140
7,2,10,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",72.5,140
7,0,92,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",72.875,141
7,1,69,TOVPlayerUseCard,Played the card: Taunt,72.875,141
7,2,10,TOVPlayerUseCard,Played the card: null,72.875,141
7,0,90,TOVPlayerUseCard,Played the card: null,73.25,142
7,1,67,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",73.25,142
7,2,20,TOVPlayerUseCard,Played the card: Heal,73.25,142
7,0,87,TOVPlayerUseCard,Played the card: null,73.625,143
7,1,67,TOVPlayerAttack,Default Attack against 22,73.625,143
7,2,30,TOVPlayerUseCard,Played the card: Heal,73.625,143
7,0,87,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",74.0,144
7,1,67,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",74.0,144
7,2,19,TOVPlayerUseCard,Played the card: Life tap,74.0,144
7,0,85,TOVPlayerUseCard,Played the card: Cleave,74.375,145
7,1,65,TOVPlayerUseCard,Played the card: Dazzle,74.375,145
7,2,18,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",74.375,145
7,0,84,TOVPlayerUseCard,Played the card: Empower,74.75,146
7,1,64,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",74.75,146
7,2,18,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",74.75,146
