Game,PlayerID,Health,ActionType,ActionString,HeuristicValue,RoundNum
9,0,28,TOVPlayerUseCard,Played the card: Cleave,27.091,44
9,1,39,TOVPlayerAttack,Default Attack against 25,36.425,44
9,2,58,TOVPlayerUseCard,Played the card: Life tap,52.79,44
9,0,26,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",27.532,45
9,1,37,TOVPlayerUseCard,Played the card: Taunt,37.104,45
9,2,57,TOVPlayerAttack,Default Attack against 24,50.602,45
9,0,25,TOVPlayerUseCard,Played the card: Empower,27.983,46
9,1,34,TOVPlayerUseCard,Played the card: Taunt,37.759,46
9,2,45,TOVPlayerUseCard,Played the card: Life tap,53.793,46
9,0,23,TOVPlayerUseCard,Played the card: Cleave,28.429,47
9,1,33,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",38.312,47
9,2,35,TOVPlayerUseCard,Played the card: Life tap,54.298,47
9,0,21,TOVPlayerAttack,Default Attack against 28,29.171,48
9,1,30,TOVPlayerAttack,Default Attack against 26,38.872,48
9,2,42,TOVPlayerUseCard,Played the card: Heal,57.27,48
9,0,19,TOVPlayerAttack,Default Attack against 22,29.606,49
9,1,29,TOVPlayerUseCard,Played the card: Dazzle,39.41,49
9,2,42,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",52.748,49
9,0,18,TOVPlayerUseCard,Played the card: Cleave,30.04,50
9,1,26,TOVPlayerAttack,Default Attack against 22,39.925,50
9,2,42,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",53.373,50
9,0,15,TOVPlayerUseCard,Played the card: Empower,30.354,51
9,1,26,TOVPlayerAttack,Default Attack against 29,40.456,51
9,2,30,TOVPlayerUseCard,Played the card: Life tap,56.866,51
9,0,14,TOVPlayerUseCard,Played the card: Cleave,30.76,52
9,1,23,TOVPlayerAttack,Default Attack against 27,41.237,52
9,2,30,TOVPlayerUseCard,Played the card: null,57.477,52
9,0,13,TOVPlayerAttack,Default Attack against 25,31.201,53
9,1,22,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",41.694,53
9,2,27,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",54.761,53
9,0,10,TOVPlayerAttack,Default Attack against 21,31.543,54
9,1,21,TOVPlayerUseCard,Played the card: Dazzle,42.156,54
9,2,27,TOVPlayerUseCard,Played the card: null,55.311,54
9,0,10,TOVPlayerUseCard,Played the card: Cleave,31.949,55
9,1,18,TOVPlayerAttack,Default Attack against 28,42.596,55
9,2,24,TOVPlayerAttack,Default Attack against 25,55.794,55
